,NII@NI225,IKS200,IKQ150,A132030,SPI@SPX
2015-07-27,20350 ,245 ,1206 ,8480 ,2068 
2015-07-28,20329 ,245 ,1200 ,8475 ,2093 
2015-07-29,20303 ,246 ,1171 ,8470 ,2109 
2015-07-30,20523 ,244 ,1139 ,8440 ,2109 
2015-07-31,20585 ,244 ,1163 ,8375 ,2104 
2015-08-03,20548 ,241 ,1140 ,8440 ,2098 
2015-08-04,20520 ,244 ,1170 ,8370 ,2093 
2015-08-05,20614 ,243 ,1189 ,8390 ,2100 
2015-08-06,20664 ,240 ,1204 ,8380 ,2084 
2015-08-07,20725 ,240 ,1210 ,8390 ,2078 
2015-08-10,20809 ,239 ,1206 ,8460 ,2104 
2015-08-11,20721 ,238 ,1178 ,8495 ,2084 
2015-08-12,20393 ,237 ,1160 ,8560 ,2086 
2015-08-13,20596 ,237 ,1180 ,8650 ,2083 
2015-08-17,20620 ,235 ,1169 ,8630 ,2102 
2015-08-18,20554 ,235 ,1135 ,8630 ,2097 
2015-08-19,20223 ,234 ,1088 ,8625 ,2080 
2015-08-20,20034 ,232 ,1063 ,8790 ,2036 
2015-08-21,19436 ,227 ,1024 ,8980 ,1971 
2015-08-24,18541 ,222 ,1001 ,8940 ,1893 
2015-08-25,17807 ,223 ,1060 ,8885 ,1868 
2015-08-26,18377 ,228 ,1092 ,8755 ,1941 
2015-08-27,18574 ,229 ,1097 ,8680 ,1988 
2015-08-28,19136 ,232 ,1119 ,8720 ,1989 
2015-08-31,18890 ,233 ,1115 ,8765 ,1972 
2015-09-01,18166 ,230 ,1087 ,8810 ,1914 
2015-09-02,18095 ,230 ,1092 ,8810 ,1949 
2015-09-03,18182 ,230 ,1087 ,8735 ,1951 
2015-09-04,17792 ,228 ,1035 ,8675 ,1921 
2015-09-07,17860 ,227 ,1035 ,8680 ,
2015-09-08,17427 ,228 ,1016 ,8640 ,1969 
2015-09-09,18771 ,234 ,1058 ,8675 ,1942 
2015-09-10,18300 ,237 ,1071 ,8560 ,1952 
2015-09-11,18264 ,234 ,1079 ,8590 ,1961 
2015-09-14,17966 ,233 ,1063 ,8560 ,1953 
2015-09-15,18026 ,234 ,1069 ,8565 ,1978 
2015-09-16,18172 ,239 ,1085 ,8545 ,1995 
2015-09-17,18432 ,239 ,1075 ,8660 ,1990 
2015-09-18,18070 ,241 ,1111 ,8720 ,1958 
2015-09-21,,237 ,1104 ,8805 ,1967 
2015-09-22,,239 ,1107 ,8755 ,1943 
2015-09-23,,234 ,1081 ,8705 ,1939 
2015-09-24,17572 ,234 ,1085 ,8765 ,1932 
2015-09-25,17881 ,234 ,1078 ,8850 ,1931 
2015-09-30,17388 ,237 ,1068 ,8740 ,1920 
2015-10-01,17722 ,239 ,1079 ,8615 ,1924 
2015-10-02,17725 ,237 ,1080 ,8600 ,1951 
2015-10-05,18005 ,238 ,1088 ,8755 ,1987 
2015-10-06,18186 ,240 ,1085 ,8775 ,1980 
2015-10-07,18323 ,244 ,1062 ,8880 ,1996 
2015-10-08,18141 ,246 ,1051 ,8835 ,2013 
2015-10-12,,246 ,1047 ,9000 ,2017 
2015-10-13,18235 ,246 ,1049 ,8920 ,2004 
2015-10-14,17891 ,245 ,1040 ,9055 ,1994 
2015-10-15,18097 ,248 ,1048 ,9150 ,2024 
2015-10-16,18292 ,247 ,1060 ,9100 ,2033 
2015-10-19,18131 ,247 ,1065 ,9055 ,2034 
2015-10-20,18207 ,249 ,1076 ,9015 ,2031 
2015-10-21,18554 ,249 ,1064 ,9070 ,2019 
2015-10-22,18436 ,247 ,1047 ,9010 ,2053 
2015-10-23,18825 ,249 ,1060 ,9035 ,2075 
2015-10-26,18947 ,250 ,1077 ,9000 ,2071 
2015-10-27,18777 ,250 ,1071 ,9000 ,2066 
2015-10-28,18903 ,250 ,1087 ,9030 ,2090 
2015-10-29,18936 ,249 ,1081 ,8965 ,2089 
2015-10-30,19083 ,249 ,1070 ,8905 ,2079 
2015-11-02,18683 ,251 ,1066 ,8815 ,2104 
2015-11-03,,252 ,1070 ,8785 ,2110 
2015-11-04,18927 ,252 ,1078 ,8655 ,2102 
2015-11-05,19116 ,252 ,1091 ,8565 ,2100 
2015-11-06,19266 ,250 ,1101 ,8570 ,2099 
2015-11-09,19643 ,249 ,1066 ,8445 ,2079 
2015-11-10,19671 ,246 ,1036 ,8435 ,2082 
2015-11-11,19691 ,246 ,1057 ,8440 ,2075 
2015-11-12,19698 ,245 ,1070 ,8400 ,2046 
2015-11-13,19597 ,243 ,1069 ,8365 ,2023 
2015-11-16,19394 ,239 ,1057 ,8460 ,2053 
2015-11-17,19631 ,241 ,1077 ,8325 ,2050 
2015-11-18,19649 ,241 ,1075 ,8245 ,2084 
2015-11-19,19860 ,245 ,1092 ,8310 ,2081 
2015-11-20,19880 ,245 ,1098 ,8365 ,2089 
2015-11-23,,246 ,1105 ,8255 ,2087 
2015-11-24,19925 ,248 ,1100 ,8265 ,2089 
2015-11-25,19848 ,247 ,1101 ,8325 ,2089 
2015-11-26,19944 ,249 ,1108 ,8270 ,
2015-11-27,19884 ,249 ,1110 ,8240 ,2090 
2015-11-30,19747 ,244 ,1102 ,8150 ,2080 
2015-12-01,20012 ,249 ,1116 ,8255 ,2103 
2015-12-02,19938 ,247 ,1113 ,8240 ,2080 
2015-12-03,19940 ,245 ,1113 ,8120 ,2050 
2015-12-04,19504 ,242 ,1101 ,8180 ,2092 
2015-12-07,19698 ,241 ,1093 ,8350 ,2077 
2015-12-08,19493 ,239 ,1065 ,8270 ,2064 
2015-12-09,19301 ,239 ,1059 ,8295 ,2048 
2015-12-10,19047 ,241 ,1048 ,8280 ,2052 
2015-12-11,19230 ,240 ,1033 ,8245 ,2012 
2015-12-14,18883 ,238 ,998 ,8280 ,2022 
2015-12-15,18566 ,239 ,1015 ,8200 ,2043 
2015-12-16,19050 ,243 ,1025 ,8215 ,2073 
2015-12-17,19354 ,244 ,1040 ,8225 ,2042 
2015-12-18,18987 ,243 ,1057 ,8145 ,2006 
2015-12-21,18916 ,244 ,1058 ,8230 ,2021 
2015-12-22,18887 ,245 ,1051 ,8300 ,2039 
2015-12-23,,247 ,1041 ,8295 ,2064 
2015-12-24,18790 ,245 ,1032 ,8280 ,2061 
2015-12-28,18873 ,242 ,1028 ,8270 ,2057 
2015-12-29,18982 ,241 ,1081 ,8260 ,2078 
2015-12-30,19034 ,240 ,1095 ,8250 ,2063 
2016-01-04,18451 ,235 ,1088 ,8220 ,2013 
2016-01-05,18374 ,236 ,1099 ,8305 ,2017 
2016-01-06,18191 ,235 ,1110 ,8305 ,1990 
2016-01-07,17767 ,232 ,1099 ,8455 ,1943 
2016-01-08,17698 ,234 ,1110 ,8510 ,1922 
2016-01-11,,231 ,1099 ,8515 ,1924 
2016-01-12,17219 ,231 ,1090 ,8450 ,1939 
2016-01-13,17716 ,234 ,1120 ,8365 ,1890 
2016-01-14,17241 ,231 ,1115 ,8425 ,1922 
2016-01-15,17147 ,229 ,1098 ,8350 ,1880 
2016-01-18,16956 ,229 ,1127 ,8415 ,
2016-01-19,17048 ,230 ,1126 ,8405 ,1881 
2016-01-20,16416 ,225 ,1115 ,8415 ,1859 
2016-01-21,16017 ,224 ,1110 ,8495 ,1869 
2016-01-22,16959 ,229 ,1115 ,8480 ,1907 
2016-01-25,17111 ,230 ,1132 ,8505 ,1877 
2016-01-26,16709 ,227 ,1129 ,8590 ,1904 
2016-01-27,17164 ,231 ,1115 ,8650 ,1883 
2016-01-28,17041 ,232 ,1125 ,8645 ,1893 
2016-01-29,17518 ,232 ,1128 ,8610 ,1940 
2016-02-01,17865 ,234 ,1140 ,8650 ,1939 
2016-02-02,17751 ,231 ,1141 ,8680 ,1903 
2016-02-03,17191 ,229 ,1135 ,8710 ,1913 
2016-02-04,17045 ,233 ,1134 ,8815 ,1915 
2016-02-05,16820 ,233 ,1125 ,8905 ,1880 
2016-02-11,,227 ,1063 ,9305 ,1829 
2016-02-12,14953 ,225 ,987 ,9560 ,1865 
2016-02-15,16023 ,228 ,1004 ,9420 ,
2016-02-16,16054 ,232 ,1028 ,9230 ,1896 
2016-02-17,15836 ,232 ,997 ,9305 ,1927 
2016-02-18,16197 ,235 ,1028 ,9330 ,1918 
2016-02-19,15967 ,235 ,1037 ,9465 ,1918 
2016-02-22,16111 ,235 ,1046 ,9400 ,1946 
2016-02-23,16052 ,235 ,1031 ,9405 ,1921 
2016-02-24,15916 ,235 ,1031 ,9480 ,1930 
2016-02-25,16140 ,235 ,1038 ,9550 ,1952 
2016-02-26,16188 ,235 ,1041 ,9575 ,1948 
2016-02-29,16027 ,235 ,1046 ,9495 ,1932 
2016-03-02,16747 ,239 ,1070 ,9470 ,1986 
2016-03-03,16960 ,240 ,1085 ,9570 ,1993 
2016-03-04,17015 ,240 ,1086 ,9745 ,2000 
2016-03-07,16911 ,240 ,1080 ,9725 ,2002 
2016-03-08,16783 ,238 ,1080 ,9790 ,1979 
2016-03-09,16642 ,239 ,1085 ,9685 ,1989 
2016-03-10,16852 ,241 ,1104 ,9640 ,1990 
2016-03-11,16939 ,242 ,1096 ,9835 ,2022 
2016-03-14,17234 ,242 ,1090 ,9680 ,2020 
2016-03-15,17117 ,242 ,1085 ,9460 ,2016 
2016-03-16,16974 ,242 ,1088 ,9500 ,2027 
2016-03-17,16936 ,244 ,1090 ,9720 ,2041 
2016-03-18,16725 ,245 ,1098 ,9790 ,2050 
2016-03-21,,244 ,1089 ,9600 ,2052 
2016-03-22,17049 ,245 ,1090 ,9620 ,2050 
2016-03-23,17001 ,245 ,1084 ,9520 ,2037 
2016-03-24,16892 ,244 ,1076 ,9395 ,2036 
2016-03-25,17003 ,244 ,1070 ,9535 ,
2016-03-28,17134 ,244 ,1060 ,9385 ,2037 
2016-03-29,17104 ,246 ,1073 ,9405 ,2055 
2016-03-30,16879 ,247 ,1074 ,9545 ,2064 
2016-03-31,16759 ,246 ,1074 ,9490 ,2060 
2016-04-01,16164 ,242 ,1085 ,9505 ,2073 
2016-04-04,16123 ,243 ,1096 ,9380 ,2066 
2016-04-05,15733 ,241 ,1093 ,9450 ,2045 
2016-04-06,15715 ,242 ,1082 ,9485 ,2067 
2016-04-07,15750 ,242 ,1095 ,9490 ,2042 
2016-04-08,15822 ,242 ,1091 ,9530 ,2048 
2016-04-11,15751 ,242 ,1077 ,9625 ,2042 
2016-04-12,15929 ,244 ,1076 ,9670 ,2062 
2016-04-14,16911 ,249 ,1075 ,9535 ,2083 
2016-04-15,16848 ,249 ,1075 ,9495 ,2081 
2016-04-18,16276 ,248 ,1074 ,9510 ,2094 
2016-04-19,16874 ,248 ,1083 ,9520 ,2101 
2016-04-20,16907 ,247 ,1078 ,9615 ,2102 
2016-04-21,17364 ,249 ,1079 ,9670 ,2091 
2016-04-22,17572 ,248 ,1076 ,9615 ,2092 
2016-04-25,17439 ,248 ,1080 ,9535 ,2088 
2016-04-26,17353 ,249 ,1078 ,9535 ,2092 
2016-04-27,17290 ,249 ,1071 ,9580 ,2095 
2016-04-28,16666 ,246 ,1064 ,9650 ,2076 
2016-04-29,,245 ,1065 ,9820 ,2065 
2016-05-02,16147 ,243 ,1046 ,9970 ,2081 
2016-05-03,,244 ,1062 ,9930 ,2063 
2016-05-04,,243 ,1057 ,9860 ,2051 
2016-05-09,16216 ,242 ,1052 ,9855 ,2059 
2016-05-10,16565 ,244 ,1065 ,9750 ,2084 
2016-05-11,16579 ,243 ,1070 ,9790 ,2064 
2016-05-12,16646 ,242 ,1073 ,9800 ,2064 
2016-05-13,16412 ,241 ,1070 ,9820 ,2047 
2016-05-16,16466 ,241 ,1066 ,9835 ,2067 
2016-05-17,16653 ,241 ,1056 ,9855 ,2047 
2016-05-18,16645 ,240 ,1035 ,9800 ,2048 
2016-05-19,16647 ,239 ,1026 ,9670 ,2040 
2016-05-20,16736 ,239 ,1041 ,9650 ,2052 
2016-05-23,16655 ,240 ,1049 ,9630 ,2048 
2016-05-24,16499 ,238 ,1044 ,9600 ,2076 
2016-05-25,16757 ,241 ,1052 ,9450 ,2091 
2016-05-26,16772 ,241 ,1042 ,9485 ,2090 
2016-05-27,16835 ,242 ,1048 ,9405 ,2099 
2016-05-30,17068 ,242 ,1056 ,9260 ,
2016-05-31,17235 ,244 ,1069 ,9325 ,2097 
2016-06-01,16956 ,244 ,1068 ,9360 ,2099 
2016-06-02,16563 ,244 ,1067 ,9345 ,2105 
2016-06-03,16642 ,244 ,1067 ,9315 ,2099 
2016-06-07,16675 ,248 ,1073 ,9560 ,2112 
2016-06-08,16831 ,250 ,1075 ,9610 ,2119 
2016-06-09,16668 ,250 ,1083 ,9700 ,2115 
2016-06-10,16601 ,249 ,1081 ,9755 ,2096 
2016-06-13,16019 ,244 ,1059 ,9865 ,2079 
2016-06-14,15859 ,243 ,1055 ,9835 ,2075 
2016-06-15,15920 ,243 ,1057 ,9915 ,2072 
2016-06-16,15434 ,242 ,1036 ,10020 ,2078 
2016-06-17,15600 ,242 ,1032 ,9900 ,2071 
2016-06-20,15965 ,245 ,1046 ,9860 ,2083 
2016-06-21,16169 ,245 ,1047 ,9895 ,2089 
2016-06-22,16066 ,247 ,1044 ,9710 ,2085 
2016-06-23,16238 ,246 ,1033 ,9745 ,2113 
2016-06-24,14952 ,239 ,987 ,10190 ,2037 
2016-06-27,15309 ,239 ,990 ,10260 ,2001 
2016-06-28,15323 ,240 ,1006 ,10165 ,2036 
2016-06-29,15567 ,242 ,1023 ,10185 ,2071 
2016-06-30,15576 ,244 ,1033 ,10125 ,2099 
2016-07-01,15682 ,247 ,1048 ,10280 ,2103 
2016-07-04,15776 ,248 ,1053 ,10380 ,
2016-07-05,15669 ,247 ,1061 ,10365 ,2089 
2016-07-06,15379 ,242 ,1046 ,10560 ,2100 
2016-07-07,15276 ,245 ,1064 ,10555 ,2098 
2016-07-08,15107 ,243 ,1055 ,10470 ,2130 
2016-07-11,15709 ,247 ,1060 ,10500 ,2137 
2016-07-12,16096 ,247 ,1061 ,10425 ,2152 
2016-07-13,16231 ,249 ,1064 ,10320 ,2152 
2016-07-14,16386 ,250 ,1062 ,10275 ,2164 
2016-07-15,16498 ,251 ,1057 ,10280 ,2162 
2016-07-18,,252 ,1054 ,10230 ,2167 
2016-07-19,16723 ,251 ,1056 ,10235 ,2164 
2016-07-20,16682 ,251 ,1063 ,10210 ,2173 
2016-07-21,16810 ,250 ,1070 ,10120 ,2165 
2016-07-22,16627 ,250 ,1065 ,10200 ,2175 
2016-07-25,16620 ,251 ,1059 ,10125 ,2168 
2016-07-26,16383 ,253 ,1060 ,10135 ,2169 
2016-07-27,16665 ,253 ,1051 ,10125 ,2167 
2016-07-28,16477 ,252 ,1053 ,10295 ,2170 
2016-07-29,16569 ,251 ,1058 ,10290 ,2174 
2016-08-01,16636 ,254 ,1048 ,10340 ,2171 
2016-08-02,16391 ,252 ,1043 ,10395 ,2157 
2016-08-03,16083 ,249 ,1040 ,10495 ,2164 
2016-08-04,16255 ,249 ,1045 ,10365 ,2164 
2016-08-05,16254 ,252 ,1033 ,10480 ,2183 
2016-08-08,16651 ,254 ,1038 ,10265 ,2181 
2016-08-09,16765 ,256 ,1049 ,10205 ,2182 
2016-08-10,16735 ,255 ,1066 ,10390 ,2175 
2016-08-11,,256 ,1060 ,10295 ,2186 
2016-08-12,16920 ,256 ,1060 ,10280 ,2184 
2016-08-16,16597 ,256 ,1052 ,10360 ,2178 
2016-08-17,16746 ,256 ,1045 ,10300 ,2182 
2016-08-18,16486 ,258 ,1051 ,10365 ,2187 
2016-08-19,16546 ,259 ,1048 ,10365 ,2184 
2016-08-22,16598 ,257 ,1033 ,10225 ,2183 
2016-08-23,16497 ,258 ,1031 ,10260 ,2187 
2016-08-24,16597 ,257 ,1033 ,10235 ,2175 
2016-08-25,16556 ,257 ,1026 ,10150 ,2172 
2016-08-26,16361 ,256 ,1022 ,10125 ,2169 
2016-08-29,16737 ,256 ,999 ,10095 ,2180 
2016-08-30,16725 ,257 ,1002 ,10105 ,2176 
2016-08-31,16887 ,257 ,998 ,10050 ,2171 
2016-09-01,16927 ,256 ,1014 ,10040 ,2171 
2016-09-02,16926 ,257 ,1019 ,10030 ,2180 
2016-09-05,17038 ,260 ,1022 ,10165 ,
2016-09-06,17082 ,261 ,1021 ,10165 ,2186 
2016-09-07,17012 ,260 ,1011 ,10355 ,2186 
2016-09-08,16959 ,261 ,1013 ,10330 ,2181 
2016-09-09,16966 ,257 ,1009 ,10250 ,2128 
2016-09-12,16673 ,251 ,987 ,10160 ,2159 
2016-09-13,16729 ,252 ,994 ,10170 ,2127 
2016-09-19,,254 ,999 ,10090 ,2139 
2016-09-20,16492 ,255 ,1011 ,10095 ,2140 
2016-09-21,16808 ,257 ,1017 ,10100 ,2163 
2016-09-22,,258 ,1027 ,10235 ,2177 
2016-09-23,16754 ,258 ,1032 ,10230 ,2165 
2016-09-26,16545 ,257 ,1028 ,10230 ,2146 
2016-09-27,16684 ,260 ,1030 ,10240 ,2160 
2016-09-28,16465 ,258 ,1024 ,10165 ,2171 
2016-09-29,16694 ,260 ,1027 ,10145 ,2151 
2016-09-30,16450 ,257 ,1010 ,10175 ,2168 
2016-10-04,16736 ,259 ,1015 ,10025 ,2150 
2016-10-05,16819 ,259 ,1013 ,9725 ,2160 
2016-10-06,16899 ,261 ,1007 ,9705 ,2161 
2016-10-07,16860 ,260 ,994 ,9595 ,2154 
2016-10-10,,260 ,993 ,9685 ,2164 
2016-10-11,17025 ,256 ,987 ,9630 ,2137 
2016-10-12,16840 ,256 ,985 ,9600 ,2139 
2016-10-13,16774 ,254 ,975 ,9660 ,2133 
2016-10-14,16856 ,255 ,978 ,9595 ,2133 
2016-10-17,16900 ,256 ,968 ,9590 ,2127 
2016-10-18,16964 ,258 ,975 ,9615 ,2140 
2016-10-19,16999 ,258 ,978 ,9650 ,2144 
2016-10-20,17236 ,258 ,971 ,9730 ,2141 
2016-10-21,17185 ,257 ,964 ,9680 ,2141 
2016-10-24,17234 ,259 ,956 ,9670 ,2151 
2016-10-25,17365 ,259 ,947 ,9695 ,2143 
2016-10-26,17392 ,256 ,949 ,9755 ,2139 
2016-10-27,17336 ,257 ,971 ,9700 ,2133 
2016-10-28,17446 ,257 ,956 ,9700 ,2126 
2016-10-31,17425 ,256 ,940 ,9790 ,2126 
2016-11-01,17442 ,256 ,942 ,9780 ,2112 
2016-11-02,17135 ,253 ,920 ,9905 ,2098 
2016-11-03,,253 ,925 ,9960 ,2089 
2016-11-04,16905 ,253 ,923 ,9925 ,2085 
2016-11-07,17177 ,255 ,938 ,9855 ,2132 
2016-11-08,17171 ,255 ,942 ,9800 ,2140 
2016-11-09,16252 ,250 ,908 ,10085 ,2163 
2016-11-10,17344 ,255 ,946 ,9855 ,2167 
2016-11-11,17375 ,252 ,936 ,9670 ,2164 
2016-11-14,17673 ,250 ,929 ,9325 ,2164 
2016-11-15,17668 ,249 ,920 ,9390 ,2180 
2016-11-16,17862 ,250 ,939 ,9430 ,2177 
2016-11-17,17863 ,250 ,936 ,9380 ,2187 
2016-11-18,17967 ,250 ,923 ,9200 ,2182 
2016-11-21,18106 ,250 ,907 ,9280 ,2198 
2016-11-22,18163 ,252 ,911 ,9320 ,2203 
2016-11-23,,254 ,900 ,9255 ,2205 
2016-11-24,18333 ,252 ,890 ,9040 ,
2016-11-25,18381 ,252 ,896 ,9025 ,2213 
2016-11-28,18357 ,253 ,887 ,9095 ,2202 
2016-11-29,18307 ,253 ,892 ,9110 ,2205 
2016-11-30,18308 ,254 ,892 ,9075 ,2199 
2016-12-01,18513 ,254 ,887 ,8990 ,2191 
2016-12-02,18426 ,253 ,873 ,8965 ,2192 
2016-12-05,18275 ,252 ,858 ,8995 ,2205 
2016-12-06,18361 ,256 ,866 ,8930 ,2212 
2016-12-07,18497 ,256 ,861 ,8935 ,2241 
2016-12-08,18765 ,262 ,869 ,8990 ,2246 
2016-12-09,18996 ,261 ,887 ,8920 ,2260 
2016-12-12,19155 ,261 ,898 ,8835 ,2257 
2016-12-13,19251 ,262 ,909 ,8870 ,2272 
2016-12-14,19254 ,262 ,910 ,8865 ,2253 
2016-12-15,19274 ,261 ,920 ,8730 ,2262 
2016-12-16,19401 ,263 ,923 ,8650 ,2258 
2016-12-19,19392 ,262 ,920 ,8715 ,2263 
2016-12-20,19495 ,263 ,908 ,8680 ,2271 
2016-12-21,19444 ,262 ,906 ,8685 ,2265 
2016-12-22,19428 ,262 ,900 ,8630 ,2261 
2016-12-23,,262 ,909 ,8640 ,2264 
2016-12-26,19397 ,262 ,906 ,8825 ,
2016-12-27,19403 ,262 ,911 ,8720 ,2269 
2016-12-28,19402 ,260 ,931 ,8735 ,2250 
2016-12-29,19145 ,260 ,936 ,8780 ,2249 
2017-01-02,,260 ,933 ,8900 ,
2017-01-03,,263 ,938 ,8845 ,2258 
2017-01-04,19594 ,263 ,945 ,8890 ,2271 
2017-01-05,19521 ,262 ,947 ,8990 ,2269 
2017-01-06,19454 ,263 ,948 ,8990 ,2277 
2017-01-09,,264 ,945 ,8965 ,2269 
2017-01-10,19301 ,264 ,934 ,9060 ,2269 
2017-01-11,19365 ,268 ,934 ,9075 ,2275 
2017-01-12,19135 ,270 ,926 ,9140 ,2270 
2017-01-13,19287 ,268 ,932 ,9090 ,2275 
2017-01-16,19095 ,266 ,925 ,9140 ,
2017-01-17,18814 ,267 ,917 ,9220 ,2268 
2017-01-18,18894 ,267 ,923 ,9250 ,2272 
2017-01-19,19072 ,268 ,921 ,9165 ,2264 
2017-01-20,19138 ,267 ,915 ,9205 ,2271 
2017-01-23,18891 ,267 ,908 ,9280 ,2265 
2017-01-24,18788 ,267 ,903 ,9270 ,2280 
2017-01-25,19058 ,268 ,898 ,9150 ,2298 
2017-01-26,19402 ,270 ,907 ,9090 ,2297 
2017-01-31,19041 ,268 ,905 ,9170 ,2279 
2017-02-01,19148 ,270 ,918 ,9180 ,2280 
2017-02-02,18915 ,268 ,908 ,9260 ,2281 
2017-02-03,18918 ,269 ,906 ,9260 ,2297 
2017-02-06,18977 ,269 ,908 ,9325 ,2293 
2017-02-07,18911 ,269 ,904 ,9380 ,2293 
2017-02-08,19008 ,268 ,905 ,9400 ,2295 
2017-02-09,18908 ,268 ,906 ,9450 ,2308 
2017-02-10,19379 ,269 ,908 ,9320 ,2316 
2017-02-13,19459 ,269 ,911 ,9370 ,2328 
2017-02-14,19239 ,268 ,910 ,9335 ,2338 
2017-02-15,19438 ,269 ,919 ,9305 ,2349 
2017-02-16,19348 ,269 ,918 ,9385 ,2347 
2017-02-17,19235 ,269 ,922 ,9385 ,2351 
2017-02-20,19251 ,270 ,924 ,9380 ,
2017-02-21,19381 ,272 ,928 ,9385 ,2365 
2017-02-22,19380 ,273 ,925 ,9365 ,2363 
2017-02-23,19371 ,273 ,922 ,9395 ,2364 
2017-02-24,19284 ,270 ,922 ,9500 ,2367 
2017-02-27,19107 ,269 ,916 ,9550 ,2370 
2017-02-28,19119 ,270 ,917 ,9510 ,2364 
2017-03-02,19565 ,273 ,911 ,9460 ,2382 
2017-03-03,19469 ,270 ,901 ,9345 ,2383 
